Unnamed: 0,CLEE,Id,Nombre,Clase_actividad,Estrato,Tipo_vialidad,Calle,Colonia,Ubicacion,Tipo,Longitud,Latitud,Consultorio
1,02001464111003211000000000S0,11627704,4 LESS FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLEJON,MIRAMAR,TURISTICO,ENSENADA,FIJO,-116.62806227,31.86184201,NO
2,02001464111003271000000000S4,9774251,4 LESS FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,RUIZ,CENTRO,ENSENADA,FIJO,-116.62917919,31.86454021,NO
3,02002621111005651000000000U3,6973256,ABY FARMACIA Y CONSULTORIO,COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS,6 a 10 personas,CALZADA,ROSA DEL DESIERTO,BUSTAMITA,MEXICALI,FIJO,-115.35514011,32.58552619,NO
4,02004464111012581000000000U9,9753345,AERO FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,OTRO(ESPECIFIQUE),SIN CALLE,AEROPUERTO INTERNACIONAL DE TIJUANA,TIJUANA,SEMIFIJO,-116.97523795,32.54632453,NO
9,02004464111012801000000000U1,10100145,ALTA ESPECIALIDAD FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,GUANAJUATO,MADERO,TIJUANA,FIJO,-117.02564167,32.52119925,NO
10,02001464111003041000000000U1,11262245,AR FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,IGNACIO ALLENDE,JESUS MUNGUIA,ENSENADA,FIJO,-116.59656252,31.87075908,NO
11,02002464112002461000000000U8,10841344,ARCE FARMACIA,FARMACIAS CON MINISUPER,0 a 5 personas,CALLE,RIO CULIACAN,INDEPENDENCIA,MEXICALI,FIJO,-115.43203505,32.62695651,NO
14,02004464112002341000000000U8,126629,AS FARMACIA,FARMACIAS CON MINISUPER,0 a 5 personas,CALLE,LITERATOS,REFORMA,TIJUANA,FIJO,-116.95531867,32.46658871,NO
15,02002464111007001000000000U9,10896987,AVI FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,HEROICA DE PUEBLA,ANGELES DE PUEBLA,MEXICALI,FIJO,-115.33870748,32.56111383,NO
16,02002464111006931000000000U8,9592741,AVI FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,RIO SAN ANGEL,VALLE DEL PUEBLA,MEXICALI,FIJO,-115.36779389,32.57739528,NO
21,02002464112000291000000000U1,56423,BEE FARMACIA,FARMACIAS SIN MINISUPER,6 a 10 personas,AVENIDA,FRANCISCO I MADERO,SEGUNDA,MEXICALI,FIJO,-115.47921755,32.66550397,NO
22,02007464111000061000000000U9,11458387,BIO FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,MALECON,PUERTO DE SAN FELIPE,SAN FELIPE,FIJO,-114.83319986,31.02226794,NO
28,02002464112000241010000000U6,58549,FARMACIA CENTRAL,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,ALAMO,BARRIO ALAMO,MEXICALI,FIJO,-115.4781941,32.64413856,NO
29,02002464111001571000000000U7,144764,FARMACIA DE JESUS,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,CONSTITUCION,PAREDONES,MEXICALI,FIJO,-114.93364146,32.6042305,NO
30,02001464111000771000000000U6,70890,FARMACIA GALENO,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,BENITO JUAREZ QUINTA,CENTRO,ENSENADA,FIJO,-116.62123806,31.86611597,NO
31,02002464112000992000000000M4,75357,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,6 a 10 personas,CALZADA,NACIONES UNIDAS,SOLIDARIDAD VIRREYES,MEXICALI,FIJO,-115.51385152,32.62144065,NO
32,02002464111002302001000000U6,68670,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,6 a 10 personas,BOULEVARD,BENITO JUAREZ,EX EJIDO COAHUILA,MEXICALI,FIJO,-115.44012716,32.61489598,NO
33,02002464111002782001000000U9,90283,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,OAXACA,LUIS DONALDO COLOSIO MURRIETA,MEXICALI,FIJO,-115.528895,32.65441009,NO
34,02002464112000451011000000U1,61766,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,11 a 30 personas,AVENIDA,VILLAHERMOSA,ESPERANZA,MEXICALI,FIJO,-115.49026719,32.64392162,NO
35,02002464111003591000000000U3,60819,FARMACIA JEREZ,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,JEREZ,DEL RASTRO,MEXICALI,FIJO,-115.46625054,32.62607584,NO
36,02002464112000932011000000U0,68674,FARMACIA LEVY,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,EX EJIDO COAHUILA,MEXICALI,FIJO,-115.43583982,32.62459503,NO
37,02002464111003431000000000U2,90454,FARMACIA LUCERNA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,BAHIA LUCERNA,CARLOS SALINAS,MEXICALI,FIJO,-115.52268645,32.6532251,NO
38,02004464111002411011000000U1,53479,FARMACIA ROMO,FARMACIAS CON MINISUPER,0 a 5 personas,AVENIDA,MUTUALISMO E,CENTRO,TIJUANA,FIJO,-117.04309774,32.53228485,NO
39,02002464112000091010000000U5,73540,FARMACIA SAN JOSE,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,ANAHUAC,JARDINES DEL LAGO,MEXICALI,FIJO,-115.47927938,32.61359254,NO
40,02002464111002072001000000U5,139240,FARMACIA SAN JOSE,FARMACIAS SIN MINISUPER,6 a 10 personas,CALZADA,INDEPENDENCIA,INDEPENDENCIA,MEXICALI,FIJO,-115.4325749,32.63910796,NO
41,02002464112001173010000000M0,57767,FARMACIA SAN JOSE,FARMACIAS SIN MINISUPER,6 a 10 personas,CALLE,JOSE AZUETA,PRIMERA SECCION,MEXICALI,FIJO,-115.49372932,32.66271348,NO
42,02002464111007551000000000U3,9608911,FARMACIA SAN JUAN DE DIOS,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,JOSE AZUETA,PRIMERA SECCION,MEXICALI,FIJO,-115.49373064,32.66260572,NO
43,02002464111002822000000000S3,86277,FARMACIA SANTA MONICA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,FRANCISCO I  MADERO,PRIMERA SECCION,MEXICALI,FIJO,-115.49419947,32.66442576,NO
44,02002464111004671000000000U2,7048803,FARMACIA SOLYMAR,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,BAHIA HUATULCO,LOS ARCOS,SAN FELIPE,FIJO,-114.84837472,31.03319806,NO
