CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local
02002464111001161000004146S7,6286211,2487 AEROPUERTO NORTE,FARMACIA DE SIMILARES SA DE CV,Farmacias sin minisúper,11 a 30 personas,AVENIDA,IGNACIO ZARAGOZA,0,,EJIDO PUEBLA,21620,"MEXICALI, Mexicali, BAJA CALIFORNIA",,REDESL@PORUNMEXICOMEJOR.COM.MX,WWW.FARMACIASDESIMILARES.COM,Fijo,-115.35314935,32.56773382,,,
02001464111003211000000000S0,11627704,4 LESS PHARMACY,,Farmacias sin minisúper,0 a 5 personas,CALLEJON,MIRAMAR,550,,TURISTICO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.62806227,31.86184201,,,
02001464111003271000000000S4,9774251,4LESS PHARMACY,,Farmacias sin minisúper,0 a 5 personas,AVENIDA,RUIZ,0,,ZONA CENTRO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.62917919,31.86454021,,,
02002621111005651000000000U3,6973256,ABY FARMACIAS Y CONSULTORIO,,Comercio al por mayor de productos farmacéuticos,6 a 10 personas,CALZADA,ROSA DEL DESIERTO,4458,,BUSTAMITA,21395,"MEXICALI, Mexicali, BAJA CALIFORNIA",,ABYFARMACIAS@GMAIL.COM,,Fijo,-115.35514011,32.58552619,CENTRO Y PLAZA COMERCIAL,PLAZITA TUQUILA,4
02004464111012581000000000U9,9753345,AERO PHARMA,,Farmacias sin minisúper,0 a 5 personas,OTRO(ESPECIFIQUE),NINGUNO,0,,AEROPUERTO INTERNACIONAL DE TIJUANA,22435,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Semifijo,-116.97523795,32.54632453,AEROPUERTO,AEROPUERTO INTERNACIONAL DE TIJUANA,SN
02004464111009612000038352S7,8723423,ALBA ROJA,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,ALBA ROJA,13169,,GUADALAJARA,22195,"TIJUANA, Tijuana, BAJA CALIFORNIA",,LOSREYES@DEMISFARMACIAS.COM,WWW.DEMISFARMACIAS.COM,Fijo,-116.98193520,32.49751724,,,
02002464111002933001000000U8,83411,ALMACEN FARMACIA GI,,Farmacias sin minisúper,0 a 5 personas,AVENIDA,AGUSTIN OLACHEA,756,0,MAESTROS FEDERALES,21370,"MEXICALI, Mexicali, BAJA CALIFORNIA",6868402749,,,Fijo,-115.43489861,32.61525078,,,
02002464111007511000089252S7,10016341,ALMACEN SANTA MONICA OFICINA,,Farmacias sin minisúper,0 a 5 personas,AVENIDA,REFORMA,0,,PRIMERA SECCION,21100,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.49377498,32.66291604,,,
02002464112002431000000000S1,9875499,ALMACEN SUPLEMENTOS MXLI,JUAN PABLO BARCENA GARCIA SA DE CV,Farmacias con minisúper,0 a 5 personas,CALLE,RODEO NORTE,0,,LA JOLLA,21000,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.41546562,32.64017570,,,
02004464111012801000000000U1,10100145,ALTA ESPECIALIDAD FARMACIA,,Farmacias sin minisúper,0 a 5 personas,AVENIDA,GUANAJUATO,2344,,COLONIA MADERO,22040,"TIJUANA, Tijuana, BAJA CALIFORNIA",,ALTAESPECIALIDADFARMACIA@GMAIL.COM,,Fijo,-117.02564167,32.52119925,,,
02001464111003041000000000U1,11262245,AR FARMACIAS,,Farmacias sin minisúper,0 a 5 personas,CALLE,IGNACIO ALLENDE,882,,JESUS MUNGUIA,22840,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.59656252,31.87075908,,,
02002464112002461000000000U8,10841344,ARCE FARMACIA,,Farmacias con minisúper,0 a 5 personas,CALLE,RIO CULIACAN,,,INDEPENDENCIA,21360,"MEXICALI, Mexicali, BAJA CALIFORNIA",6862103937,,,Fijo,-115.43203505,32.62695651,,,
02002464111002472012000442S7,6284044,ARGENTINA MXL,GRUPO LIQUIS SA DE CV,Farmacias con minisúper,31 a 50 personas,AVENIDA,REPÚBLICA DE ARGENTINA,1230,,ALAMITOS,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,FELIX.JUAN@GRUPO-LIQUIS.COM,,Fijo,-115.42583565,32.66915190,,,
02002462112005443001000442S5,6701544,ARROYO HONDO,GRUPO LIQUIS SA DE CV,Farmacias con minisúper,31 a 50 personas,CALLE,NINGUNO,,,GRANJAS ARCOIRIS,21600,"GRANJAS ARCOÍRIS, Mexicali, BAJA CALIFORNIA",,FELIX.JUAN@GRUPO-LIQUIS.COM,,Fijo,-115.34662679,32.61516433,,,
02004464112002341000000000U8,126629,AS FARMACIA,THE PHARMA DEPOT SA DE CV,Farmacias con minisúper,0 a 5 personas,CALLE,LITERATOS,1,,REFORMA,22183,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.95531867,32.46658871,,,
02002464111007001000000000U9,10896987,AVI FARMACIA,,Farmacias sin minisúper,0 a 5 personas,CALLE,HEROICA DE PUEBLA,,,ANGELES DE PUEBLA,21620,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.33870748,32.56111383,,,
02002464111006931000000000U8,9592741,AVI FARMACIAS,,Farmacias sin minisúper,0 a 5 personas,AVENIDA,RIO SAN ANGEL,0,,VALLE DEL PUEBLA,21395,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.36779389,32.57739528,,,
