CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local
02001464111001222001000291S9,6285021,FARMACIAS SIMILARES LOMITAS INDECO ENSENADA 6,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,GERANIOS,182,,A LOMITAS INDECO,22810,"ENSENADA, Ensenada, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.58280350,31.89305633,,,
02002464111006172000000291S9,9305568,FARMACIAS SIMILARES MELICALI 46,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CARRETERA,ESTATAL NUMERO 1,472,6,QUINTA ALCANZAR DETOLEDO,21395,"COLONIA VENUSTIANO CARRANZA (LA CARRANZA), Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.16761615,32.23162316,,,
02002464111006431000000291S9,9469773,FARMACIAS SIMILARES MEXICALI 13,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,GENERAL SANTIAGO VIDAURRI,0,,POPULAR LEANDRO VALLE,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.44050942,32.58695575,,,
02002464111005882000038010S4,9223883,FARMACIAS SIMILARES MEXICALI 14,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,GUADAMUR,501,1,QUINTA DEL REY,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,QUINTA.DEL.REY@HOTMAIL.COM,,Fijo,-115.47292495,32.58577196,,,
02002464111005792000038010S5,9223874,FARMACIAS SIMILARES MEXICALI 15,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,LICENCIADO VICENTE LOMBARDO TOLEDANO,1101,,AURORA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,FC103-LOMBARDO@HOTMAIL.COM,,Fijo,-115.47253524,32.61379145,,,
02002464111005802000038010S2,9223875,FARMACIAS SIMILARES MEXICALI 17,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,LAGUNA XOCHIMILCO,1000,12,XOCHIMILCO,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,XOCHIMILCO123@HOTMAIL.COM,,Fijo,-115.47186827,32.60416622,,,
02002464111004201000000291S8,6886326,FARMACIAS SIMILARES MEXICALI 18,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,LÁZARO CÁRDENAS (NICOLAS BRAVO),2557,2,INFONAVIT VIRREYES,21098,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.51496363,32.62158070,,,
02002464111006571000038010S2,9392918,FARMACIAS SIMILARES MEXICALI 19,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,SANTO TOMÁS,3305,,REAL DEL RIO,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,FH0213-MEXICALI19@HOTMAIL.COM,,Fijo,-115.52981820,32.65068210,,,
02002464111004561000000291S5,6868060,FARMACIAS SIMILARES MEXICALI 2,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,AVENIDA DE LOS JAZMINES,335,,ALAMITOS,21210,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.42128284,32.66399589,,,
02002464111004041000000291S8,6778767,FARMACIAS SIMILARES MEXICALI 24,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,HEROICA DE PUEBLA,110,1,ANGELES DE PUEBLA,21620,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.33705302,32.56504343,,,
